group	tag	run	rc	budget_mb	workers	threads	cooldown_tokens	pinned_fraction	peak_mb	elapsed_s	max_rss_kb	vol_cs	invol_cs	pp_tps	tg_tps	streams	hits	evictions	resident_mib	sidecar_read_mib	sidecar_read_count	moe_total_us	cache_lookup_us	victim_select_us	sidecar_submit_us	sidecar_wait_us	sidecar_read_us	q2_unpack_us	cache_hit	cache_miss	prefetch_hit	prefetch_late	prefetch_unused	reload_1tok	reload_4tok	thrash_4tok_per_evict
standard	baseline	1	0	1024	1	6	0	0	1133	0:11.04	2149848	9006	278	17.12	8.21	4503	23073	3762	1022.9	6215.811	4503	3468406	9	289915	0	0	3137324	0	16416	4503	0	0	0	930	1716	0.456140
standard	baseline	2	0	1024	1	6	0	0	1133	0:10.89	2149916	8267	240	16.97	8.15	4503	23073	3762	1022.9	6215.811	4503	3305356	7	262267	0	0	3011498	0	16416	4503	0	0	0	930	1716	0.456140
standard	baseline	3	0	1024	1	6	0	0	1133	0:10.90	2150148	7919	304	17.04	8.20	4503	23073	3762	1022.9	6215.811	4503	3339055	9	277892	0	0	3022676	0	16416	4503	0	0	0	930	1716	0.456140
standard	baseline	4	0	1024	1	6	0	0	1133	0:10.92	2149912	8520	226	16.87	8.21	4503	23073	3762	1022.9	6215.811	4503	3345094	7	277621	0	0	3028087	0	16416	4503	0	0	0	930	1716	0.456140
standard	baseline	5	0	1024	1	6	0	0	1133	0:10.77	2145516	8395	189	17.11	8.29	4503	23073	3762	1022.9	6215.811	4503	3302262	22	286460	0	0	2977443	0	16416	4503	0	0	0	930	1716	0.456140
cooldown	c0	1	0	1024	1	6	0	0	1133	0:10.90	2144524	7327	302	16.95	8.16	4503	23073	3762	1022.9	6215.811	4503	3320706	4	262265	0	0	3025833	0	16416	4503	0	0	0	930	1716	0.456140
cooldown	c0	2	0	1024	1	6	0	0	1133	0:10.79	2149548	7991	171	16.95	8.25	4503	23073	3762	1022.9	6215.811	4503	3338026	7	263132	0	0	3042887	0	16416	4503	0	0	0	930	1716	0.456140
cooldown	c0	3	0	1024	1	6	0	0	1133	0:10.88	2149908	7347	200	17.13	8.20	4503	23073	3762	1022.9	6215.811	4503	3318257	0	282583	0	0	2997589	0	16416	4503	0	0	0	930	1716	0.456140
cooldown	c0	4	0	1024	1	6	0	0	1133	0:10.81	2149684	8163	252	17.14	8.24	4503	23073	3762	1022.9	6215.811	4503	3338992	17	256577	0	0	3048727	0	16416	4503	0	0	0	930	1716	0.456140
cooldown	c0	5	0	1024	1	6	0	0	1133	0:10.85	2149312	8307	177	16.83	8.21	4503	23073	3762	1022.9	6215.811	4503	3337994	4	258263	0	0	3046778	0	16416	4503	0	0	0	930	1716	0.456140
cooldown	c1	1	0	1024	1	6	1	0	1611	0:10.80	2712104	8336	313	14.89	8.36	4326	23250	3585	1022.9	5971.485	4326	3209917	6	271100	0	0	2899971	0	16593	4326	0	0	0	801	1593	0.444351
cooldown	c1	2	0	1024	1	6	1	0	1614	0:10.83	2711680	8028	212	14.99	8.33	4326	23250	3585	1022.9	5971.485	4326	3193618	0	249739	0	0	2910654	0	16593	4326	0	0	0	801	1593	0.444351
cooldown	c1	3	0	1024	1	6	1	0	1602	0:10.79	2712764	8172	166	15.19	8.37	4326	23250	3585	1022.9	5971.485	4326	3165894	14	270685	0	0	2855319	0	16593	4326	0	0	0	801	1593	0.444351
cooldown	c1	4	0	1024	1	6	1	0	1631	0:10.71	2707604	8268	206	15.13	8.41	4326	23250	3585	1022.9	5971.485	4326	3171416	3	250463	0	0	2889484	0	16593	4326	0	0	0	801	1593	0.444351
cooldown	c1	5	0	1024	1	6	1	0	1604	0:10.75	2708204	8563	172	15.09	8.41	4326	23250	3585	1022.9	5971.485	4326	3184593	13	258522	0	0	2891682	0	16593	4326	0	0	0	801	1593	0.444351
cooldown	c2	1	0	1024	1	6	2	0	1694	0:10.79	2746440	8183	188	15.25	8.36	4341	23235	3600	1022.9	5992.191	4341	3191443	21	267238	0	0	2887885	0	16578	4341	0	0	0	843	1575	0.437500
