group	tag	runs	rc_fail	budget_mb	workers	threads	cooldown_tokens	pinned_fraction	tg_median	tg_min	tg_max	tg_avg	tg_cv	peak_mb_max	evictions_avg	sidecar_read_mib_avg	reload_4tok_avg	thrash_4tok_avg	cache_hit_avg	cache_miss_avg
standard	baseline	5	0	1024	1	6	0	0	8.2100	8.1500	8.2900	8.2120	0.005468	1133	3762.00	6215.811	1716.00	0.456140	16416.00	4503.00
cooldown	c0	5	0	1024	1	6	0	0	8.2100	8.1600	8.2500	8.2120	0.003881	1133	3762.00	6215.811	1716.00	0.456140	16416.00	4503.00
cooldown	c1	5	0	1024	1	6	1	0	8.3700	8.3300	8.4100	8.3760	0.003668	1631	3585.00	5971.485	1593.00	0.444351	16593.00	4326.00
cooldown	c2	5	0	1024	1	6	2	0	8.3300	8.3000	8.3600	8.3280	0.002564	1705	3600.00	5992.191	1575.00	0.437500	16578.00	4341.00
cooldown	c4	5	0	1024	1	6	4	0	8.3100	8.2900	8.3300	8.3120	0.001596	1756	3663.00	6079.154	1611.00	0.439803	16515.00	4404.00
