group	tag	run	rc	budget_mb	workers	threads	cooldown_tokens	pinned_fraction	peak_mb	elapsed_s	max_rss_kb	vol_cs	invol_cs	pp_tps	tg_tps	streams	hits	evictions	resident_mib	sidecar_read_mib	sidecar_read_count	moe_total_us	cache_lookup_us	victim_select_us	sidecar_submit_us	sidecar_wait_us	sidecar_read_us	q2_unpack_us	cache_hit	cache_miss	prefetch_hit	prefetch_late	prefetch_unused	reload_1tok	reload_4tok	thrash_4tok_per_evict
workers	t4_w4	2	0	1024	4	4	0	0	1133	0:13.32	2150008	4089	99	13.60	6.55	4503	23073	3762	1022.9	6215.811	4503	3205567	1	254421	0	0	2918748	0	16416	4503	0	0	0	930	1716	0.456140
workers	t4_w4	3	0	1024	4	4	0	0	1132	0:13.24	2149772	3664	100	13.81	6.57	4503	23073	3762	1022.9	6215.811	4503	3163233	31	251728	0	0	2878784	0	16416	4503	0	0	0	930	1716	0.456140
workers	t6_w1	1	0	1024	1	6	0	0	1133	0:10.95	2145824	7313	156	16.99	8.12	4503	23073	3762	1022.9	6215.811	4503	3387582	12	285974	0	0	3064490	0	16416	4503	0	0	0	930	1716	0.456140
workers	t6_w1	2	0	1024	1	6	0	0	1133	0:11.08	2145080	8004	285	16.78	8.04	4503	23073	3762	1022.9	6215.811	4503	3428141	14	288666	0	0	3102981	0	16416	4503	0	0	0	930	1716	0.456140
workers	t6_w1	3	0	1024	1	6	0	0	1133	0:10.97	2150100	8145	218	16.81	8.15	4503	23073	3762	1022.9	6215.811	4503	3389408	8	278927	0	0	3075554	0	16416	4503	0	0	0	930	1716	0.456140
workers	t6_w2	1	0	1024	2	6	0	0	1133	0:10.84	2149628	8548	155	17.21	8.23	4503	23073	3762	1022.9	6215.811	4503	3252399	407	261887	0	0	2954858	0	16416	4503	0	0	0	930	1716	0.456140
workers	t6_w2	2	0	1024	2	6	0	0	1133	0:10.79	2148980	7512	165	17.25	8.23	4503	23073	3762	1022.9	6215.811	4503	3184776	23	261114	0	0	2889907	0	16416	4503	0	0	0	930	1716	0.456140
workers	t6_w2	3	0	1024	2	6	0	0	1133	0:10.95	2148864	9410	383	16.77	8.16	4503	23073	3762	1022.9	6215.811	4503	3420429	0	286031	0	0	3096193	0	16416	4503	0	0	0	930	1716	0.456140
workers	t6_w4	1	0	1024	4	6	0	0	1133	0:10.90	2145708	8880	150	16.66	8.17	4503	23073	3762	1022.9	6215.811	4503	3368186	10	279693	0	0	3050475	0	16416	4503	0	0	0	930	1716	0.456140
workers	t6_w4	2	0	1024	4	6	0	0	1133	0:10.75	2144980	8763	247	17.16	8.26	4503	23073	3762	1022.9	6215.811	4503	3224809	0	259783	0	0	2926659	0	16416	4503	0	0	0	930	1716	0.456140
workers	t6_w4	3	0	1024	4	6	0	0	1133	0:10.77	2150116	8035	261	17.25	8.23	4503	23073	3762	1022.9	6215.811	4503	3201545	0	257963	0	0	2907083	0	16416	4503	0	0	0	930	1716	0.456140
workers	t8_w1	1	0	1024	1	8	0	0	1133	0:09.61	2144260	13061	1749	20.05	9.38	4503	23073	3762	1022.9	6215.811	4503	3228270	5	263006	0	0	2932499	0	16416	4503	0	0	0	930	1716	0.456140
workers	t8_w1	2	0	1024	1	8	0	0	1133	0:10.12	2149068	13273	2265	20.10	8.95	4503	23073	3762	1022.9	6215.811	4503	3246340	12	269932	0	0	2943435	0	16416	4503	0	0	0	930	1716	0.456140
workers	t8_w1	3	0	1024	1	8	0	0	1133	0:09.77	2149856	11994	2162	19.95	9.53	4503	23073	3762	1022.9	6215.811	4503	3239359	13	262652	0	0	2944113	0	16416	4503	0	0	0	930	1716	0.456140
workers	t8_w2	1	0	1024	2	8	0	0	1133	0:09.87	2148580	11690	1865	19.21	9.34	4503	23073	3762	1022.9	6215.811	4503	3383610	0	286429	0	0	3061476	0	16416	4503	0	0	0	930	1716	0.456140
workers	t8_w2	2	0	1024	2	8	0	0	1133	0:09.71	2150188	11079	1640	19.73	9.32	4503	23073	3762	1022.9	6215.811	4503	3385290	0	284504	0	0	3064593	0	16416	4503	0	0	0	930	1716	0.456140
workers	t8_w2	3	0	1024	2	8	0	0	1133	0:09.71	2145092	12662	1848	19.63	9.27	4503	23073	3762	1022.9	6215.811	4503	3301026	17	271554	0	0	2994323	0	16416	4503	0	0	0	930	1716	0.456140
workers	t8_w4	1	0	1024	4	8	0	0	1133	0:09.45	2145796	12189	1563	19.96	9.54	4503	23073	3762	1022.9	6215.811	4503	3207588	0	261292	0	0	2913869	0	16416	4503	0	0	0	930	1716	0.456140
workers	t8_w4	2	0	1024	4	8	0	0	1133	0:09.47	2147560	13618	1642	20.04	9.51	4503	23073	3762	1022.9	6215.811	4503	3200784	15	259817	0	0	2908490	0	16416	4503	0	0	0	930	1716	0.456140
workers	t8_w4	3	0	1024	4	8	0	0	1133	0:09.70	2149556	12537	1673	19.25	9.40	4503	23073	3762	1022.9	6215.811	4503	3305697	3	264106	0	0	3008185	0	16416	4503	0	0	0	930	1716	0.456140
