group	tag	run	rc	budget_mb	workers	threads	cooldown_tokens	pinned_fraction	peak_mb	elapsed_s	max_rss_kb	vol_cs	invol_cs	pp_tps	tg_tps	streams	hits	evictions	resident_mib	sidecar_read_mib	sidecar_read_count	moe_total_us	cache_lookup_us	victim_select_us	sidecar_submit_us	sidecar_wait_us	sidecar_read_us	q2_unpack_us	cache_hit	cache_miss	prefetch_hit	prefetch_late	prefetch_unused	reload_1tok	reload_4tok	thrash_4tok_per_evict
cooldown	c0	1	0	1024	4	8	0	0	1133	0:10.69	2146160	13772	2089	16.02	8.69	4503	23073	3762	1022.9	6215.811	4503	3431294	9	293070	0	0	3102067	0	16416	4503	0	0	0	930	1716	0.456140
cooldown	c0	2	0	1024	4	8	0	0	1133	0:09.96	2148236	11783	1751	19.70	9.01	4503	23073	3762	1022.9	6215.811	4503	3398359	10	280789	0	0	3082157	0	16416	4503	0	0	0	930	1716	0.456140
cooldown	c0	3	0	1024	4	8	0	0	1133	0:09.82	2148164	11469	1966	20.07	9.16	4503	23073	3762	1022.9	6215.811	4503	3259750	16	261300	0	0	2964143	0	16416	4503	0	0	0	930	1716	0.456140
cooldown	c1	1	0	1024	4	8	1	0	1661	0:09.71	2711896	12655	1776	17.08	9.37	4326	23250	3585	1022.9	5971.485	4326	3133651	19	256097	0	0	2844947	0	16593	4326	0	0	0	801	1593	0.444351
cooldown	c1	2	0	1024	4	8	1	0	1683	0:10.01	2710672	12372	1720	17.48	9.00	4326	23250	3585	1022.9	5971.485	4326	3277317	16	272731	0	0	2968585	0	16593	4326	0	0	0	801	1593	0.444351
cooldown	c1	3	0	1024	4	8	1	0	1631	0:09.61	2709720	12956	1710	17.13	9.62	4326	23250	3585	1022.9	5971.485	4326	3182465	0	256607	0	0	2892875	0	16593	4326	0	0	0	801	1593	0.444351
cooldown	c2	1	0	1024	4	8	2	0	1661	0:09.99	2750152	13829	1928	17.23	9.07	4341	23235	3600	1022.9	5992.191	4341	3287090	1	276377	0	0	2975365	0	16578	4341	0	0	0	843	1575	0.437500
cooldown	c2	2	0	1024	4	8	2	0	1674	0:09.59	2749696	12939	1656	17.09	9.55	4341	23235	3600	1022.9	5992.191	4341	3128384	14	255713	0	0	2840540	0	16578	4341	0	0	0	843	1575	0.437500
cooldown	c2	3	0	1024	4	8	2	0	1723	0:09.44	2744996	12388	1596	17.78	9.64	4341	23235	3600	1022.9	5992.191	4341	3099790	5	249653	0	0	2817466	0	16578	4341	0	0	0	843	1575	0.437500
