group	tag	runs	rc_fail	budget_mb	workers	threads	cooldown_tokens	pinned_fraction	tg_median	tg_min	tg_max	tg_avg	tg_cv	peak_mb_max	evictions_avg	sidecar_read_mib_avg	reload_4tok_avg	thrash_4tok_avg	cache_hit_avg	cache_miss_avg
cooldown	c0	3	0	1024	4	8	0	0	9.0100	8.6900	9.1600	8.9533	0.021893	1133	3762.00	6215.811	1716.00	0.456140	16416.00	4503.00
cooldown	c1	3	0	1024	4	8	1	0	9.3700	9.0000	9.6200	9.3300	0.027298	1683	3585.00	5971.485	1593.00	0.444351	16593.00	4326.00
cooldown	c2	3	0	1024	4	8	2	0	9.5500	9.0700	9.6400	9.4200	0.026561	1723	3600.00	5992.191	1575.00	0.437500	16578.00	4341.00
